"customer_id","monetaryvalue","frequency","recency"
"12496","54","2","619"
"12497","6249","3","81"
"12498","404","3","20"
"12499","394","1","559"
"12500","5955","19","22"
"12501","2169","1","336"
"12502","3724","5","95"
"12503","1126","1","583"
"12504","779","4","17"
"12505","955","1","408"
"12506","74","1","232"
"12507","1844","4","133"
"12508","398","2","25"
"12509","177","1","283"
"12510","5178","9","142"
"12511","3084","1","428"
"12512","138","2","65"
"12513","612","1","112"
"12514","1598","2","266"
"12515","384","1","352"
"12516","2649","4","77"
"12517","2503","5","27"
"12518","2057","5","0"
"12519","727","2","63"
"12520","2634","5","78"
"12521","600","1","142"
"12522","193","2","38"
"12523","4372","23","18"
"12524","11126","17","8"
"12525","974","3","497"
"12526","1317","3","0"
"12527","736","5","81"
"12528","1933","6","8"
"12529","316","1","527"
"12530","3759","9","59"
"12531","1933","2","14"
"12532","350","1","29"
"12533","1368","2","627"
"12534","1089","1","130"
"12535","716","2","91"
"12536","12602","3","42"
"12537","733","1","408"
"12538","640","2","28"
"12539","11215","7","21"
"12540","22254","33","19"
"12541","981","3","29"
"12542","482","2","483"
"12543","980","1","447"
"12544","373","1","35"
"12545","1000","2","74"
"12546","1162","2","46"
"12547","384","3","197"
"12548","95","1","165"
"12549","1576","6","575"
"12550","965","1","78"
"12551","168","1","357"
"12552","438","2","38"
"12553","4609","12","7"
"12554","469","1","448"
"12555","129","1","681"
"12556","604","2","49"
"12557","18716","8","15"
"12558","270","1","7"
"12559","562","2","310"
"12560","2134","3","4"
"12561","239","1","302"
"12562","4967","9","7"
"12563","249","1","408"
"12564","457","1","260"
"12565","146","1","288"
"12566","352","1","85"
"12567","13710","15","22"
"12568","70","1","644"
"12569","4125","32","1"
"12570","78","1","681"
"12571","520","2","39"
"12572","1020","2","8"
"12573","717","5","226"
"12574","218","1","315"
"12575","623","2","456"
"12576","2143","8","35"
"12577","1654","8","34"
"12578","4642","4","20"
"12579","440","1","77"
"12580","1053","2","246"
"12581","198","1","39"
"12582","1980","4","238"
"12583","14447","27","2"
"12584","2338","9","3"
"12585","2040","2","233"
"12586","2063","4","16"
"12587","144","1","7"
"12588","959","4","38"
"12589","4696","8","28"
"12590","9864","2","210"
"12591","1352","3","316"
"12592","2583","5","91"
"12593","418","3","108"
"12594","5090","15","37"
"12595","299","1","504"
"12596","618","2","50"
"12597","3811","4","18"
"12598","4534","11","9"
"12599","2297","13","28"
"12600","5044","21","28"
"12601","681","6","189"
"12602","153","1","58"
"12603","739","1","21"
"12604","254","2","78"
"12605","1233","4","375"
"12606","21","1","681"
"12607","1580","1","59"
"12608","416","1","404"
"12609","3436","9","77"
"12610","2100","5","22"
"12611","1193","1","51"
"12612","704","1","73"
"12613","6835","10","56"
"12614","316","1","277"
"12615","5741","8","1"
"12616","1131","3","94"
"12617","356","1","28"
"12618","177","1","21"
"12619","3781","10","15"
"12620","1339","3","14"
"12621","24776","35","1"
"12622","180","1","231"
"12623","3748","7","275"
"12624","641","2","105"
"12625","5165","4","211"
"12626","6620","9","22"
"12627","4479","7","10"
"12628","786","3","3"
"12629","1558","2","385"
"12630","1271","2","9"
"12631","3482","6","56"
"12632","805","2","520"
"12633","5678","7","58"
"12634","490","2","535"
"12635","2930","4","89"
"12636","141","1","738"
"12637","8340","12","66"
"12638","921","2","32"
"12639","1312","3","238"
"12640","1175","3","23"
"12641","186","1","114"
"12642","1013","3","24"
"12643","8350","12","127"
"12644","1918","4","129"
"12645","3539","8","33"
"12646","1347","2","4"
"12647","17924","36","21"
"12648","1112","4","154"
"12649","2295","8","106"
"12650","314","1","2"
"12651","378","4","334"
"12652","1017","2","330"
"12653","4161","3","148"
"12654","602","5","10"
"12655","261","1","423"
"12656","6408","8","16"
"12657","1643","4","10"
"12658","686","1","18"
"12659","92","1","29"
"12660","245","1","10"
"12661","162","1","435"
"12662","6988","20","0"
"12663","239","2","624"
"12664","6070","11","7"
"12665","314","3","324"
"12666","1248","1","393"
"12667","620","1","57"
"12668","11445","10","11"
"12669","2744","3","150"
"12670","3760","7","9"
"12671","2622","1","605"
"12672","437","2","329"
"12673","1230","3","4"
"12674","1971","4","38"
"12675","959","2","553"
"12676","2843","11","24"
"12677","395","2","554"
"12678","34281","21","41"
"12679","1113","4","58"
"12680","881","4","0"
"12681","30868","45","14"
"12682","24034","52","3"
"12683","12697","21","3"
"12684","2284","7","7"
"12685","2863","6","27"
"12686","178","1","371"
"12687","2139","2","480"
"12688","4874","1","113"
"12689","1248","2","25"
"12690","389","1","205"
"12691","1170","7","27"
"12692","111","1","636"
"12693","1703","7","126"
"12694","1843","3","69"
"12695","1407","7","6"
"12696","852","2","434"
"12697","958","3","28"
"12698","340","1","589"
"12699","638","1","417"
"12700","4940","4","7"
"12701","2446","6","79"
"12702","219","1","19"
"12703","1007","4","70"
"12704","2341","8","6"
"12705","11762","14","14"
"12707","603","1","291"
"12708","5314","18","29"
"12709","31093","34","14"
"12710","1149","3","96"
"12711","1339","2","611"
"12712","7194","21","28"
"12713","849","1","0"
"12714","14094","12","8"
"12715","354","1","105"
"12716","1053","2","3"
"12717","1309","3","150"
"12718","238","1","70"
"12719","645","2","4"
"12720","8261","30","2"
"12721","4013","8","31"
"12722","998","4","84"
"12723","725","5","3"
"12724","2318","7","4"
"12725","2695","4","370"
"12726","4015","11","27"
"12727","5680","10","10"
"12728","1070","5","70"
"12729","453","1","113"
"12730","829","1","521"
"12731","25776","17","23"
"12732","236","1","179"
"12733","2425","4","233"
"12734","640","3","352"
"12735","780","2","314"
"12736","234","1","332"
"12737","3711","2","498"
"12738","311","1","371"
"12739","2727","4","77"
"12740","428","1","63"
"12741","406","2","528"
"12742","1202","1","625"
"12743","546","2","133"
"12744","25317","11","51"
"12745","925","3","486"
"12746","255","1","540"
"12747","9277","26","1"
"12748","56599","337","0"
"12749","6897","9","3"
"12750","276","1","128"
"12751","268","1","444"
"12752","4367","1","80"
"12753","21429","6","22"
"12754","3011","3","235"
"12755","9031","11","280"
"12756","112","1","86"
"12757","7857","13","15"
"12758","9903","7","116"
"12759","5021","8","51"
"12760","348","1","455"
"12761","783","2","457"
"12762","1899","2","7"
"12763","814","2","137"
"12764","1694","1","316"
"12765","1405","6","471"
"12766","10068","9","3"
"12767","950","1","375"
"12768","169","1","450"
"12769","1144","1","238"
"12770","3246","2","210"
"12771","282","1","485"
"12772","892","1","59"
"12773","124","1","563"
"12774","99","1","535"
"12775","1686","7","16"
"12776","56","1","667"
"12777","519","1","457"
"12778","1776","9","19"
"12779","6722","14","37"
"12780","337","1","598"
"12781","827","2","63"
"12782","4618","11","4"
"12783","2226","6","1"
"12784","1805","3","8"
"12785","1100","3","363"
"12786","729","1","609"
"12787","862","4","9"
"12788","445","4","462"
"12789","273","3","64"
"12790","592","2","191"
"12791","1056","6","373"
"12792","827","2","256"
"12793","1017","3","334"
"12794","860","2","52"
"12795","430","1","18"
"12796","381","1","627"
"12797","806","2","365"
"12798","8511","4","9"
"12799","219","1","528"
"12800","584","3","469"
"12801","1072","1","500"
"12802","2416","7","186"
"12803","1093","1","392"
"12804","327","2","465"
"12805","1435","4","381"
"12806","2879","4","434"
"12807","330","1","382"
"12808","906","5","36"
"12809","1756","3","177"
"12810","535","2","534"
"12811","1034","5","260"
"12812","230","1","44"
"12813","1688","3","501"
"12814","126","1","101"
"12815","1063","2","147"
"12816","572","2","95"
"12817","691","3","280"
"12818","1542","1","261"
"12819","541","1","457"
"12820","2690","11","2"
"12821","221","2","213"
"12822","949","2","70"
"12823","6502","18","74"
"12824","397","1","59"
"12825","519","2","520"
"12826","2956","12","2"
"12827","430","3","5"
"12828","1019","6","2"
"12829","385","3","336"
"12830","6815","6","37"
"12831","451","3","261"
"12832","383","2","31"
"12833","417","1","144"
"12834","312","1","282"
"12835","6043","41","427"
"12836","6586","15","58"
"12837","688","2","172"
"12838","3398","10","33"
"12839","10072","26","2"
"12840","4042","7","143"
"12841","7541","40","4"
"12842","1918","4","69"
"12843","6588","30","65"
"12844","649","4","28"
"12845","354","4","266"
"12846","16","1","681"
"12847","1637","2","21"
"12848","208","1","675"
"12849","3091","6","30"
"12850","330","1","445"
"12851","284","2","96"
"12852","312","1","294"
"12853","3908","11","134"
"12854","2994","7","78"
"12855","651","4","372"
"12856","2180","6","7"
"12857","3688","6","210"
"12858","178","1","382"
"12859","575","1","458"
"12860","55","1","692"
"12861","68","1","619"
"12862","1008","2","425"
"12863","2793","6","51"
"12864","300","2","137"
"12865","3323","4","25"
"12866","1227","3","282"
"12867","7913","13","25"
"12868","2247","8","185"
"12869","338","1","681"
"12870","1677","3","374"
"12871","744","3","83"
"12872","3685","12","326"
"12873","2027","3","281"
"12874","948","2","384"
"12875","1357","5","142"
"12876","4082","4","57"
"12877","2955","20","3"
"12878","855","2","235"
"12879","573","3","44"
"12880","640","2","381"
"12881","298","1","275"
"12882","1463","2","8"
"12883","703","4","24"
"12884","309","1","87"
"12885","1175","3","62"
"12886","1378","2","67"
"12887","222","1","383"
"12888","354","2","213"
"12889","385","4","380"
"12890","717","2","23"
"12891","841","11","185"
"12892","263","1","396"
"12893","188","1","30"
"12894","157","1","574"
"12895","373","2","41"
"12897","514","4","204"
"12898","311","2","463"
"12899","366","1","413"
"12900","340","1","421"
"12901","17655","28","8"
"12902","139","1","264"
"12903","834","1","428"
"12904","510","2","17"
"12905","1018","2","576"
"12906","2920","5","11"
"12907","509","2","395"
"12908","1776","5","175"
"12909","3103","8","39"
"12910","5797","13","22"
"12911","1680","1","551"
"12912","1662","5","2"
"12913","6701","13","4"
"12914","224","1","400"
"12915","1175","4","148"
"12916","4654","7","138"
"12917","4359","6","127"
"12918","10954","1","625"
"12919","1335","6","7"
"12920","488","4","16"
"12921","35921","74","8"
"12922","405","1","160"
"12923","790","3","63"
"12924","2469","12","87"
"12925","729","3","4"
"12926","1548","4","410"
"12927","197","1","394"
"12928","4305","12","34"
"12929","118","1","311"
"12930","416","2","77"
"12931","92347","57","21"
"12932","1699","8","538"
"12933","1687","8","23"
"12934","182","1","736"
"12935","4244","15","1"
"12936","1064","4","16"
"12937","3098","9","14"
"12938","114","1","25"
"12939","25265","20","63"
"12940","914","2","54"
"12941","377","1","723"
"12942","943","3","130"
"12943","497","2","557"
"12944","605","2","35"
"12945","900","2","287"
"12946","324","1","436"
"12947","1908","6","143"
"12948","2317","9","15"
"12949","15527","22","30"
"12950","1843","3","1"
"12951","3214","15","8"
"12952","1388","4","5"
"12953","829","2","9"
"12954","162","1","638"
"12955","4757","11","0"
"12956","522","4","305"
"12957","8707","13","9"
"12958","539","2","399"
"12959","151","1","483"
"12960","1322","4","413"
"12961","212","1","378"
"12962","266","2","6"
"12963","3602","12","7"
"12964","132","1","436"
"12965","772","1","88"
"12966","160","1","9"
"12967","4307","3","357"
"12968","136","1","111"
"12969","122","1","602"
"12970","1525","10","6"
"12971","15973","116","3"
"12972","1161","4","413"
"12973","386","1","413"
"12974","409","2","197"
"12975","2100","6","436"
"12976","3156","8","211"
"12977","518","4","155"
"12978","2503","5","384"
"12979","518","1","728"
"12980","16246","21","157"
"12981","372","2","29"
"12982","2745","8","242"
"12983","490","1","597"
"12984","98","1","18"
"12985","1239","2","0"
"12986","2730","10","428"
"12987","1312","5","73"
"12988","535","1","291"
"12989","13552","33","2"
"12990","956","7","30"
"12991","765","3","22"
"12992","93","1","724"
"12993","1260","8","22"
"12994","974","3","3"
"12995","211","1","84"
"12996","356","1","375"
"12997","2111","8","21"
"12998","920","3","492"
"12999","456","3","195"
"13000","1033","4","106"
"13001","24172","33","3"
"13002","414","3","317"
"13003","149","3","105"
"13004","11651","36","11"
"13005","1000","4","173"
"13006","82","1","55"
"13007","175","1","579"
"13008","612","3","322"
"13009","234","1","672"
"13010","330","2","373"
"13011","101","1","371"
"13012","2973","11","8"
"13013","12626","29","0"
"13014","5381","11","10"
"13015","6586","11","52"
"13016","790","3","72"
"13017","204","1","6"
"13018","9763","35","15"
"13019","1230","6","378"
"13020","619","2","562"
"13021","4887","17","3"
"13022","65","1","429"
"13023","1449","3","63"
"13024","556","2","470"
"13025","323","1","731"
"13026","1733","9","0"
"13027","17335","19","113"
"13028","661","2","22"
"13029","1927","5","30"
"13030","1227","2","10"
"13031","3419","5","406"
"13032","2844","9","51"
"13033","221","2","356"
"13034","923","3","54"
"13035","1364","3","73"
"13036","307","1","684"
"13037","3915","12","137"
"13038","908","3","79"
"13039","1011","4","583"
"13040","677","2","8"
"13041","799","4","450"
"13042","1557","3","597"
"13043","516","1","272"
"13044","4854","11","290"
"13045","809","3","98"
"13046","949","3","30"
"13047","8795","24","31"
"13048","4084","9","13"
"13049","1408","4","63"
"13050","12345","35","14"
"13051","156","2","578"
"13052","3169","7","211"
"13053","128","1","621"
"13055","2321","4","77"
"13056","209","1","550"
"13057","722","3","529"
"13058","271","3","24"
"13059","2303","10","249"
"13060","308","1","253"
"13061","249","1","71"
"13062","347","1","190"
"13063","188","1","480"
"13064","1681","6","12"
"13065","1261","5","372"
"13066","471","2","23"
"13067","509","3","81"
"13068","344","2","9"
"13069","9683","38","0"
"13070","752","4","191"
"13071","129","1","611"
"13072","177","1","266"
"13073","418","2","410"
"13074","1379","4","510"
"13075","920","1","129"
"13076","135","1","457"
"13077","3065","11","0"
"13078","29532","57","2"
"13079","419","6","3"
"13080","281","4","178"
"13081","59205","28","11"
"13082","7336","21","125"
"13083","395","3","3"
"13084","122","1","491"
"13085","2433","8","157"
"13086","439","1","382"
"13087","314","1","725"
"13088","236","1","416"
"13089","116738","203","2"
"13090","14103","24","8"
"13091","2322","3","27"
"13092","2140","12","70"
"13093","54944","55","275"
"13094","2433","13","20"
"13095","74","1","70"
"13096","420","1","393"
"13097","13389","28","32"
"13098","28882","28","0"
"13099","207","1","98"
"13101","695","4","233"
"13102","11697","37","0"
"13103","710","3","39"
"13104","1709","9","2"
"13105","72","1","435"
"13106","603","2","132"
"13107","5253","9","43"
"13108","1099","2","372"
"13109","1134","3","59"
"13110","2957","12","30"
"13111","322","1","718"
"13112","21","1","540"
"13113","18626","37","0"
"13114","234","1","730"
"13115","5495","10","11"
"13116","501","1","137"
"13117","2644","18","21"
"13118","2415","9","19"
"13119","135","1","668"
"13120","31","1","238"
"13121","284","1","268"
"13122","922","2","93"
"13123","507","2","472"
"13124","4782","4","89"
"13125","159","1","523"
"13126","3998","13","4"
"13127","259","1","77"
"13128","264","1","630"
"13129","233","2","451"
"13130","64","1","93"
"13131","3314","7","22"
"13132","77","1","261"
"13133","200","3","273"
"13134","2475","6","85"
"13135","3371","2","196"
"13136","6275","13","55"
"13137","7713","16","10"
"13138","1467","7","21"
"13139","8203","8","15"
"13140","1216","5","107"
"13141","7669","17","84"
"13142","307","1","18"
"13143","405","1","584"
"13144","135","2","332"
"13145","1424","7","39"
"13146","229","1","25"
"13147","713","4","9"
"13148","8622","26","28"
"13149","1676","4","13"
"13150","450","3","483"
"13151","2581","3","295"
"13152","2146","7","416"
"13153","486","1","5"
"13154","1625","3","398"
"13155","1750","6","32"
"13156","1587","3","384"
"13157","5687","9","48"
"13158","1508","5","94"
"13159","1438","4","8"
"13160","92","1","21"
"13161","479","2","312"
"13162","9275","16","121"
"13163","18","1","609"
"13164","372","2","568"
"13165","1451","3","45"
"13166","884","2","282"
"13167","1125","5","18"
"13168","1875","5","35"
"13169","840","3","63"
"13170","116","1","26"
"13171","468","3","21"
"13172","70","1","399"
"13173","2639","11","3"
"13174","9495","12","15"
"13175","831","2","581"
"13176","493","1","45"
"13177","512","2","64"
"13178","14059","21","25"
"13179","572","1","618"
"13180","86","1","606"
"13181","360","1","380"
"13182","121","1","44"
"13183","7036","15","7"
"13184","1701","10","14"
"13185","71","1","267"
"13186","1576","3","39"
"13187","367","4","336"
"13188","115","1","10"
"13189","261","2","18"
"13190","571","3","543"
"13191","165","1","657"
"13192","2559","6","94"
"13193","118","1","60"
"13194","473","2","135"
"13195","172","1","413"
"13196","3069","7","10"
"13197","373","1","609"
"13198","4974","8","9"
"13199","16433","67","3"
"13200","870","4","18"
"13201","1241","4","501"
"13202","1580","7","393"
"13203","2648","10","9"
"13204","967","1","730"
"13205","2803","1","442"
"13206","8377","13","399"
"13207","536","4","14"
"13208","1989","9","58"
"13209","8510","13","29"
"13210","353","1","93"
"13211","2729","10","9"
"13212","788","3","19"
"13213","3852","11","56"
"13214","3264","7","417"
"13215","82","1","401"
"13216","334","1","267"
"13217","666","4","121"
"13218","63","1","126"
"13219","76","1","617"
"13220","1336","5","77"
"13221","847","2","239"
"13222","89","1","576"
"13223","969","6","199"
"13224","2156","2","59"
"13225","16260","16","2"
"13226","312","2","272"
"13227","258","1","201"
"13228","358","1","80"
"13229","161","1","225"
"13230","6361","30","3"
"13232","1358","7","12"
"13233","1176","4","73"
"13234","357","2","672"
"13235","1031","1","211"
"13236","745","2","24"
"13237","643","1","387"
"13238","1007","6","16"
"13239","1595","5","261"
"13240","1739","8","95"
"13241","116","1","411"
"13242","699","7","111"
"13243","1278","5","202"
"13244","122","1","92"
"13245","989","2","50"
"13246","3387","11","17"
"13247","501","4","17"
"13248","466","2","124"
"13249","1609","9","91"
"13250","256","2","460"
"13251","253","1","401"
"13252","399","2","393"
"13253","2951","4","156"
"13254","51","1","375"
"13255","904","3","8"
"13256","0","1","13"
"13257","150","1","435"
"13258","1035","5","11"
"13259","1433","9","61"
"13260","558","1","60"
"13261","944","2","268"
"13262","573","3","262"
"13263","8705","39","0"
"13264","723","1","442"
"13265","2108","5","52"
"13266","6135","19","10"
"13267","9758","36","2"
"13268","3215","11","17"
"13269","8892","28","0"
"13270","1180","1","365"
"13271","217","1","36"
"13272","277","2","30"
"13273","139","1","112"
"13274","361","1","408"
"13275","242","2","383"
"13276","1939","5","63"
"13277","523","7","15"
"13278","1436","4","40"
"13279","138","1","77"
"13280","2323","7","121"
"13281","351","1","438"
"13282","1313","4","17"
"13283","373","4","59"
"13284","201","1","330"
"13285","3365","6","22"
"13286","735","1","599"
"13287","782","3","602"
"13288","928","5","442"
"13289","308","1","723"
"13290","209","1","437"
"13291","3321","11","155"
"13292","995","5","38"
"13293","1193","6","391"
"13294","1690","3","189"
"13295","1102","4","359"
"13296","793","6","136"
"13297","4369","7","7"
"13298","360","1","0"
"13299","1219","3","267"
"13300","1286","3","168"
"13301","618","4","103"
"13302","159","2","154"
"13303","62","1","399"
"13304","1218","4","350"
"13305","3755","16","3"
"13306","54","1","429"
"13307","273","3","119"
"13308","1670","4","22"
"13309","1706","6","6"
"13310","1541","5","27"
"13311","599","2","3"
"13312","125","1","450"
"13313","3445","12","21"
"13314","776","3","1"
"13315","310","1","688"
"13316","13192","10","36"
"13317","6486","19","65"
"13318","641","3","0"
"13319","22083","58","4"
"13320","2228","6","77"
"13321","567","2","71"
"13322","199","1","16"
"13323","788","5","2"
"13324","10513","18","35"
"13325","675","1","81"
"13326","282","1","431"
"13327","9879","20","38"
"13328","1308","1","315"
"13329","5113","8","31"
"13330","2806","6","92"
"13331","262","1","401"
"13332","351","1","13"
"13333","1016","3","410"
"13334","6264","5","81"
"13336","795","1","76"
"13337","1575","1","545"
"13338","2446","4","157"
"13339","860","1","200"
"13340","22101","12","44"
"13341","776","1","260"
"13343","353","1","177"
"13344","2544","3","67"
"13345","390","1","287"
"13346","299","6","462"
"13347","341","1","69"
"13348","234","1","63"
"13349","247","1","10"
"13350","979","2","15"
"13351","374","1","65"
"13352","398","1","59"
"13354","744","1","70"
"13355","675","1","121"
"13356","768","1","79"
"13357","3838","5","256"
"13358","439","1","268"
"13359","1043","2","63"
"13360","1554","4","431"
"13361","1451","2","471"
"13362","5394","7","8"
"13363","1724","3","17"
"13364","135","1","70"
"13365","2225","2","33"
"13366","56","1","49"
"13367","510","1","431"
"13368","1122","4","256"
"13369","617","1","365"
"13370","1510","1","371"
"13371","2298","2","504"
"13372","379","1","89"
"13373","7587","6","60"
"13374","423","2","414"
"13375","1792","2","88"
"13376","1020","3","98"
"13377","1553","2","396"
"13379","573","3","25"
"13380","62","1","432"
"13381","8224","12","31"
"13382","1388","5","280"
"13383","305","1","543"
"13384","6681","11","30"
"13385","535","1","329"
"13386","835","2","413"
"13387","189","1","416"
"13388","1186","3","130"
"13389","798","3","10"
"13390","544","1","74"
"13391","60","1","203"
"13392","91","1","676"
"13393","1131","4","583"
"13394","6622","19","1"
"13395","1180","3","184"
"13396","1361","2","28"
"13397","3192","10","72"
"13398","670","2","191"
"13399","275","3","463"
"13400","311","1","582"
"13402","1535","4","126"
"13403","230","3","17"
"13404","252","2","0"
"13405","1214","6","73"
"13406","569","2","426"
"13407","2245","3","578"
"13408","51733","106","1"
"13410","2202","9","23"
"13411","214","1","106"
"13412","487","1","619"
"13413","429","6","639"
"13414","2494","6","133"
"13415","801","4","472"
"13416","941","3","43"
"13417","1669","6","4"
"13418","12234","31","11"
"13419","221","1","63"
"13420","160","2","149"
"13421","4103","8","39"
"13422","2626","1","63"
"13423","217","1","428"
"13424","573","1","449"
"13425","3404","5","107"
"13426","8167","22","0"
"13427","1007","6","18"
"13428","500","3","9"
"13429","1007","4","10"
"13430","679","2","18"
"13431","3316","8","66"
"13432","439","2","570"
"13433","658","4","500"
"13434","1667","5","73"
"13435","4475","9","4"
"13436","197","1","1"
"13437","3408","7","13"
"13438","47","1","546"
"13439","987","3","254"
"13440","1295","7","422"
"13441","721","2","91"
"13442","420","3","666"
"13443","1280","6","448"
"13444","632","2","373"
"13445","242","1","625"
"13446","3882","11","429"
"13447","1129","3","22"
"13448","9241","13","16"
"13449","292","1","23"
"13450","4120","13","26"
"13451","7191","11","25"
"13452","730","3","258"
"13453","782","3","165"
"13454","220","1","640"
"13455","2906","6","24"
"13456","1767","6","17"
"13457","148","2","688"
"13458","11959","16","6"
"13459","1160","2","624"
"13460","183","2","28"
"13461","4160","6","38"
"13462","1154","5","252"
"13464","3098","6","57"
"13465","931","2","445"
"13466","1013","5","183"
"13467","1084","2","10"
"13468","13391","72","1"
"13469","82","1","652"
"13470","165","2","98"
"13471","2532","4","0"
"13472","592","2","463"
"13473","2658","8","60"
"13474","664","3","235"
"13475","1432","4","190"
"13476","2061","5","178"
"13477","2834","11","37"
"13478","2216","5","468"
"13479","851","4","200"
"13480","628","2","416"
"13481","3831","11","45"
"13482","336","2","231"
"13483","140","1","65"
"13484","791","3","240"
"13485","3019","11","232"
"13486","1122","3","77"
"13487","847","5","57"
"13488","15588","23","16"
"13489","450","4","104"
"13490","154","1","653"
"13491","4567","27","51"
"13492","1270","3","135"
"13493","619","2","274"
"13494","316","1","311"
"13495","5374","10","7"
"13496","653","2","10"
"13497","1320","6","282"
"13498","327","1","729"
"13499","1159","5","17"
"13500","1466","4","22"
"13501","2885","3","287"
"13502","781","5","16"
"13503","1905","6","70"
"13504","296","1","63"
"13505","4394","4","72"
"13506","1639","5","315"
"13507","2479","4","2"
"13508","287","2","243"
"13509","1115","8","8"
"13510","4558","11","0"
"13511","283","1","676"
"13512","713","4","260"
"13513","825","3","126"
"13514","816","4","73"
"13515","1266","6","72"
"13516","1685","4","20"
"13517","2128","3","59"
"13518","659","1","85"
"13519","343","2","77"
"13520","6909","11","58"
"13521","1094","3","0"
"13522","126","1","29"
"13523","5102","6","32"
"13524","680","5","40"
"13525","629","2","14"
"13526","1182","2","737"
"13527","4684","12","33"
"13529","308","2","78"
"13530","403","1","633"
"13531","1739","6","204"
"13532","210","1","33"
"13533","271","3","182"
"13534","7721","35","1"
"13535","90","1","402"
"13536","3448","7","0"
"13537","718","2","425"
"13538","3113","12","42"
"13539","1569","7","85"
"13540","632","3","466"
"13541","785","2","426"
"13542","4006","17","376"
"13543","1440","2","633"
"13544","829","6","39"
"13545","375","2","390"
"13546","1092","5","11"
"13547","176","1","407"
"13548","909","3","95"
"13549","1006","8","25"
"13550","350","1","382"
"13551","244","2","318"
"13552","6979","22","65"
"13553","518","1","674"
"13554","1638","7","379"
"13555","8999","13","73"
"13556","201","2","428"
"13557","3032","13","27"
"13558","605","4","5"
"13559","990","2","512"
"13560","174","1","6"
"13561","1821","11","215"
"13562","4838","8","81"
"13563","778","2","83"
"13564","17250","37","143"
"13565","415","3","18"
"13566","1708","5","40"
"13567","1084","4","427"
"13568","193","1","172"
"13569","894","4","16"
"13570","239","1","242"
"13571","4547","26","12"
